Country,hRank,hScore,GDP
Kyrgyzstan,98,5.0040001869201705,0.5962200760841371
Nepal,99,4.961999893188481,0.479820191860199
Mongolia,100,4.95499992370605,1.0272358655929599
South Africa,101,4.8289999961853,1.05469870567322
Tunisia,102,4.80499982833862,1.00726580619812
Palestinian Territories,103,4.77500009536743,0.716249227523804
Egypt,104,4.7350001335144,0.989701807498932
Bulgaria,105,4.71400022506714,1.1614590883255
Sierra Leone,106,4.70900011062622,0.36842092871666
Cameroon,107,4.69500017166138,0.564305365085602
Iran,108,4.69199991226196,1.15687310695648
Albania,109,4.64400005340576,0.996192753314972
Bangladesh,110,4.60799980163574,0.586682975292206
Namibia,111,4.57399988174438,0.964434325695038
Kenya,112,4.55299997329712,0.560479462146759
Mozambique,113,4.550000190734861,0.23430564999580397
Myanmar,114,4.54500007629395,0.36711055040359497
Senegal,115,4.53499984741211,0.479309022426605
Zambia,116,4.513999938964839,0.6364067792892459
Iraq,117,4.49700021743774,1.1027104854583702
Gabon,118,4.46500015258789,1.1982102394104
Ethiopia,119,4.46000003814697,0.339233845472336
Sri Lanka,120,4.44000005722046,1.00985014438629
Armenia,121,4.37599992752075,0.900596737861633
India,122,4.31500005722046,0.7922212481498722
Mauritania,123,4.29199981689453,0.6484572887420649
Congo (Brazzaville),124,4.29099988937378,0.8089642524719242
Georgia,125,4.28599977493286,0.950612664222717
Congo (Kinshasa),126,4.2800002098083505,0.0921023488044739
Mali,127,4.19000005722046,0.476180493831635
Ivory Coast,128,4.17999982833862,0.6030489206314089
Cambodia,129,4.1680002212524405,0.6017650961875921
Sudan,130,4.138999938964839,0.6595166921615601
Ghana,131,4.11999988555908,0.667224824428558
Ukraine,132,4.09600019454956,0.89465194940567
Uganda,133,4.08099985122681,0.381430715322495
Burkina Faso,134,4.03200006484985,0.35022771358490007
Niger,135,4.02799987792969,0.16192533075809498
Malawi,136,3.97000002861023,0.233442038297653
Chad,137,3.9360001087188703,0.43801298737525896
Zimbabwe,138,3.875,0.37584653496742204
Lesotho,139,3.80800008773804,0.521021246910095
Angola,140,3.79500007629395,0.8584281802177429
Afghanistan,141,3.7939999103546103,0.401477217674255
Botswana,142,3.7660000324249303,1.12209415435791
Benin,143,3.65700006484985,0.43108540773391707
Madagascar,144,3.64400005340576,0.305808693170547
Haiti,145,3.6029999256133998,0.368610262870789
Yemen,146,3.59299993515015,0.5916834473609921
South Sudan,147,3.5910000801086404,0.39724862575531
Liberia,148,3.5329999923706095,0.11904179304838199
Guinea,149,3.50699996948242,0.24454993009567302
Togo,150,3.4949998855590803,0.30544471740722695
Rwanda,151,3.47099995613098,0.368745893239975
Syria,152,3.46199989318848,0.777153134346008
Tanzania,153,3.34899997711182,0.511135876178741
Burundi,154,2.90499997138977,0.09162256866693501
Central African Republic,155,2.69300007820129,0.0
