"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"CAN","Canada","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3,,
"CZE","Czech Republic","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.6,,
"DNK","Denmark","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.1,,
"FIN","Finland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.3,,
"FRA","France","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.1,,
"DEU","Germany","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.1,,
"GRC","Greece","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.9,,
"HUN","Hungary","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.2,,
"ISL","Iceland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.6,,
"IRL","Ireland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,0.8,,
"ITA","Italy","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.5,,
"JPN","Japan","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.3,,
"KOR","Korea","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.4,,
"LUX","Luxembourg","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.5,,
"MEX","Mexico","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3.5,,
"NLD","Netherlands","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.3,,
"NZL","New Zealand","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.5,,
"NOR","Norway","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.9,,
"POL","Poland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.6,,
"PRT","Portugal","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.2,,
"SVK","Slovak Republic","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.9,,
"ESP","Spain","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.6,,
"SWE","Sweden","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2,,
"CHE","Switzerland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.6,,
"TUR","Turkey","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.1,,
"GBR","United Kingdom","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.9,,
"USA","United States","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3.2,,
"BRA","Brazil","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"CHL","Chile","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.5,,
"EST","Estonia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.8,,
"ISR","Israel","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,0.9,,
"LVA","Latvia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.4,,
"RUS","Russia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,0.8,"E","Estimated value"
"SVN","Slovenia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.8,,
"ZAF","South Africa","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.6,"E","Estimated value"
"OECD","OECD - Total","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.4,,
"AUS","Australia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.7,"E","Estimated value"
"AUT","Austria","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,1.3,"E","Estimated value"
"BEL","Belgium","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.2,"E","Estimated value"
"CAN","Canada","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,3,"E","Estimated value"
"CZE","Czech Republic","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.6,"E","Estimated value"
"DNK","Denmark","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.1,"E","Estimated value"
"FIN","Finland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.3,"E","Estimated value"
"FRA","France","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.1,"E","Estimated value"
"DEU","Germany","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.1,"E","Estimated value"
"GRC","Greece","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,1.9,"E","Estimated value"
"HUN","Hungary","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,1.2,"E","Estimated value"
"ISL","Iceland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,1.6,"E","Estimated value"
"IRL","Ireland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,0.8,"E","Estimated value"
"ITA","Italy","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,1.5,"E","Estimated value"
"JPN","Japan","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,1.3,"E","Estimated value"
"KOR","Korea","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.4,"E","Estimated value"
"LUX","Luxembourg","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,1.5,"E","Estimated value"
"MEX","Mexico","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,3.5,"E","Estimated value"
"NLD","Netherlands","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,1.3,"E","Estimated value"
"NZL","New Zealand","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.5,"E","Estimated value"
"NOR","Norway","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,1.9,"E","Estimated value"
"POL","Poland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.6,"E","Estimated value"
"PRT","Portugal","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,1.2,"E","Estimated value"
"SVK","Slovak Republic","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.9,"E","Estimated value"
"ESP","Spain","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,1.6,"E","Estimated value"
"SWE","Sweden","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2,"E","Estimated value"
"CHE","Switzerland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.6,"E","Estimated value"
"TUR","Turkey","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.1,"E","Estimated value"
"GBR","United Kingdom","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.9,"E","Estimated value"
"USA","United States","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,3.2,"E","Estimated value"
"BRA","Brazil","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.2,"E","Estimated value"
"CHL","Chile","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,1.5,"E","Estimated value"
"EST","Estonia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.8,"E","Estimated value"
"ISR","Israel","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,0.9,"E","Estimated value"
"LVA","Latvia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.4,"E","Estimated value"
"RUS","Russia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,0.8,"E","Estimated value"
"SVN","Slovenia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,2.8,"E","Estimated value"
"ZAF","South Africa","CG_SENG","Stakeholder engagement for developing regulations","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,1.6,"E","Estimated value"
"AUS","Australia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.7,"E","Estimated value"
"AUT","Austria","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,1.3,"E","Estimated value"
"BEL","Belgium","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.2,"E","Estimated value"
"CAN","Canada","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,3,"E","Estimated value"
"CZE","Czech Republic","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.6,"E","Estimated value"
"DNK","Denmark","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.1,"E","Estimated value"
"FIN","Finland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.3,"E","Estimated value"
"FRA","France","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.1,"E","Estimated value"
"DEU","Germany","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.1,"E","Estimated value"
"GRC","Greece","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,1.9,"E","Estimated value"
"HUN","Hungary","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,1.2,"E","Estimated value"
"ISL","Iceland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,1.6,"E","Estimated value"
"IRL","Ireland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,0.8,"E","Estimated value"
"ITA","Italy","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,1.5,"E","Estimated value"
"JPN","Japan","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,1.3,"E","Estimated value"
"KOR","Korea","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.4,"E","Estimated value"
"LUX","Luxembourg","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,1.5,"E","Estimated value"
"MEX","Mexico","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,3.5,"E","Estimated value"
"NLD","Netherlands","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,1.3,"E","Estimated value"
"NZL","New Zealand","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.5,"E","Estimated value"
"NOR","Norway","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,1.9,"E","Estimated value"
"POL","Poland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.6,"E","Estimated value"
"PRT","Portugal","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,1.2,"E","Estimated value"
"SVK","Slovak Republic","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.9,"E","Estimated value"
"ESP","Spain","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,1.6,"E","Estimated value"
"SWE","Sweden","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2,"E","Estimated value"
"CHE","Switzerland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.6,"E","Estimated value"
"TUR","Turkey","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.1,"E","Estimated value"
"GBR","United Kingdom","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.9,"E","Estimated value"
"USA","United States","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,3.2,"E","Estimated value"
"BRA","Brazil","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.2,"E","Estimated value"
"CHL","Chile","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,1.5,"E","Estimated value"
"EST","Estonia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.8,"E","Estimated value"
"ISR","Israel","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,0.9,"E","Estimated value"
"LVA","Latvia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.4,"E","Estimated value"
"RUS","Russia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,0.8,"E","Estimated value"
"SVN","Slovenia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,2.8,"E","Estimated value"
"ZAF","South Africa","CG_SENG","Stakeholder engagement for developing regulations","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,1.6,"E","Estimated value"
"AUS","Australia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,63.6,,
"AUT","Austria","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,80.7,,
"BEL","Belgium","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,70.7,,
"CAN","Canada","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,80.9,,
"CZE","Czech Republic","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,68.3,,
"DNK","Denmark","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,83,,
"FIN","Finland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,82.9,,
"FRA","France","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,69.6,,
"DEU","Germany","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,75.9,,
"GRC","Greece","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,61.8,,
"HUN","Hungary","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,50.7,,
"ISL","Iceland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,87,,
"IRL","Ireland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,75.5,,
"ITA","Italy","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,58.3,,
"JPN","Japan","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,70.6,,
"KOR","Korea","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,63.9,,
"LUX","Luxembourg","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,72,,
"MEX","Mexico","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,45.9,,
"NLD","Netherlands","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,81.2,,
"NZL","New Zealand","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,64.8,,
"NOR","Norway","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,87.7,,
"POL","Poland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,66.3,,
"PRT","Portugal","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,72.1,,
"SVK","Slovak Republic","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,60.1,,
"ESP","Spain","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,83.1,,
"SWE","Sweden","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,75.9,,
"CHE","Switzerland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,84,,
"TUR","Turkey","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,60.6,,
"GBR","United Kingdom","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,77.4,,
"USA","United States","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,74.1,,
"BRA","Brazil","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,37.3,,
"CHL","Chile","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,51.1,,
"EST","Estonia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,67.2,,
"ISR","Israel","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,70.2,,
"LVA","Latvia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,60.7,,
"RUS","Russia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,52.2,,
"SVN","Slovenia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,84.7,,
"ZAF","South Africa","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,36.1,,
"OECD","OECD - Total","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,68.6,,
"AUS","Australia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,79.2,,
"AUT","Austria","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,84.8,,
"BEL","Belgium","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,80.7,,
"CAN","Canada","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,91.5,,
"CZE","Czech Republic","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,77.5,,
"DNK","Denmark","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,92.3,,
