areastring,region,area,palmitic,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic,regionstring
Calabria,1,2,12.99,1.16,2.53,73.09,8.23,0.4,0.69,0.27,South
Calabria,1,2,12.21,1.07,2.21,74.41,7.98,0.54,0.7,0.28,South
Calabria,1,2,12.45,0.72,2.83,73.95,8.29,0.44,0.67,0.28,South
Calabria,1,2,12.85,1.29,2.44,73.23,8.19,0.57,0.65,0.36,South
Calabria,1,2,12.48,1.07,3.13,72.99,8.4,0.46,0.66,0.33,South
Calabria,1,2,13.56,1.06,2.36,72.09,8.66,0.48,0.75,0.36,South
Calabria,1,2,12.6,1.02,2.28,73.54,8.7,0.49,0.64,0.28,South
Calabria,1,2,12.61,1.21,3.12,72.38,8.77,0.47,0.65,0.25,South
Calabria,1,2,13.04,1.24,2.79,71.6,9.28,0.48,0.61,0.37,South
Calabria,1,2,13.44,1.17,2.87,71.29,8.97,0.51,0.65,0.41,South
Calabria,1,2,13.23,0.96,3.0,73.51,7.57,0.47,0.54,0.26,South
Calabria,1,2,12.92,1.17,2.15,73.51,8.39,0.48,0.61,0.32,South
Calabria,1,2,12.54,1.18,2.44,73.94,7.86,0.46,0.71,0.24,South
Calabria,1,2,13.12,1.31,2.59,71.67,9.39,0.41,0.69,0.2,South
Calabria,1,2,12.13,1.09,3.01,72.61,9.25,0.47,0.65,0.31,South
Calabria,1,2,13.59,0.98,3.51,72.62,7.8,0.41,0.56,0.16,South
Calabria,1,2,12.66,0.97,2.63,74.35,7.43,0.45,0.69,0.29,South
Calabria,1,2,12.98,0.99,3.11,73.11,7.87,0.45,0.67,0.23,South
Calabria,1,2,12.72,1.16,2.79,72.58,8.72,0.43,0.72,0.27,South
Calabria,1,2,12.78,0.87,3.32,73.79,7.71,0.44,0.53,0.24,South
Calabria,1,2,11.84,1.12,3.11,73.91,8.19,0.48,0.57,0.28,South
Calabria,1,2,13.82,1.1,2.68,72.41,8.28,0.39,0.6,0.3,South
Calabria,1,2,11.83,1.46,2.92,75.8,6.18,0.38,0.51,0.23,South
Calabria,1,2,12.61,1.53,2.19,73.55,8.18,0.52,0.7,0.26,South
Calabria,1,2,11.98,1.36,2.39,76.39,6.33,0.27,0.55,0.19,South
Calabria,1,2,12.25,1.34,2.32,76.58,6.16,0.36,0.49,0.26,South
Calabria,1,2,13.39,1.66,2.08,71.9,9.23,0.4,0.69,0.25,South
Calabria,1,2,11.32,1.57,2.4,76.41,6.38,0.45,0.6,0.31,South
Calabria,1,2,13.81,1.83,2.45,73.85,6.09,0.47,0.7,0.25,South
Calabria,1,2,14.09,1.28,2.57,72.57,7.59,0.43,0.57,0.16,South
Calabria,1,2,13.06,1.27,2.5,72.54,8.69,0.47,0.68,0.24,South
Calabria,1,2,13.72,1.2,2.5,73.55,7.02,0.44,0.68,0.28,South
Calabria,1,2,13.36,1.13,2.42,72.93,8.55,0.38,0.6,0.18,South
Calabria,1,2,14.01,1.51,2.38,71.64,8.57,0.45,0.72,0.36,South
Calabria,1,2,13.9,1.19,2.34,72.36,8.23,0.4,0.62,0.41,South
Calabria,1,2,14.32,1.52,2.81,70.29,9.49,0.39,0.55,0.25,South
Calabria,1,2,14.12,1.24,2.98,71.82,7.9,0.45,0.68,0.28,South
Calabria,1,2,13.66,1.47,2.91,71.97,7.83,0.51,0.7,0.34,South
Calabria,1,2,13.83,1.18,2.73,72.82,7.38,0.45,0.68,0.29,South
Calabria,1,2,12.83,1.02,2.63,74.0,7.63,0.54,0.65,0.28,South
Calabria,1,2,12.96,1.36,2.6,73.8,7.8,0.48,0.51,0.18,South
Calabria,1,2,12.87,1.08,2.87,73.43,8.26,0.44,0.44,0.23,South
Calabria,1,2,13.51,1.59,2.96,72.29,8.1,0.36,0.6,0.22,South
Calabria,1,2,12.41,0.97,2.68,74.99,7.09,0.52,0.69,0.36,South
Calabria,1,2,12.67,1.01,3.0,72.3,8.98,0.74,0.65,0.34,South
Calabria,1,2,12.35,1.38,2.52,73.22,8.61,0.54,0.66,0.36,South
Calabria,1,2,12.55,1.03,2.23,73.95,8.48,0.47,0.56,0.3,South
South-Apulia,1,3,14.54,1.83,1.96,70.57,10.14,0.27,0.46,0.19,South
South-Apulia,1,3,13.47,1.94,1.97,72.77,8.95,0.25,0.46,0.15,South
South-Apulia,1,3,13.64,2.04,2.25,69.29,10.84,0.21,0.5,0.14,South
South-Apulia,1,3,14.1,1.99,2.16,71.3,9.55,0.21,0.48,0.19,South
South-Apulia,1,3,13.84,1.78,2.08,71.05,9.99,0.29,0.67,0.26,South
South-Apulia,1,3,14.12,1.85,2.17,68.42,12.03,0.34,0.72,0.32,South
South-Apulia,1,3,14.1,2.32,2.8,67.15,12.33,0.32,0.6,0.24,South
South-Apulia,1,3,15.09,2.09,2.57,66.47,12.4,0.42,0.62,0.3,South
South-Apulia,1,3,13.17,1.97,2.56,70.36,10.67,0.4,0.6,0.22,South
South-Apulia,1,3,12.86,1.92,2.03,71.32,10.53,0.38,0.65,0.28,South
South-Apulia,1,3,12.73,1.91,2.02,68.62,13.03,0.43,0.7,0.28,South
South-Apulia,1,3,14.63,1.83,1.83,67.47,13.07,0.36,0.6,0.24,South
South-Apulia,1,3,13.99,1.87,1.91,68.61,12.33,0.38,0.6,0.17,South
South-Apulia,1,3,14.13,1.93,2.08,68.75,12.02,0.3,0.6,0.18,South
South-Apulia,1,3,13.69,2.06,2.03,69.53,11.68,0.35,0.5,0.16,South
South-Apulia,1,3,14.88,1.72,1.7,69.2,11.44,0.37,0.54,0.14,South
South-Apulia,1,3,13.23,1.6,2.05,69.11,12.98,0.24,0.5,0.17,South
South-Apulia,1,3,13.11,1.66,1.7,69.02,13.12,0.41,0.69,0.28,South
South-Apulia,1,3,12.86,1.63,1.83,70.4,12.3,0.29,0.57,0.12,South
South-Apulia,1,3,13.8,1.73,1.88,70.38,11.39,0.31,0.44,0.14,South
South-Apulia,1,3,13.94,1.64,2.23,70.86,10.42,0.24,0.43,0.23,South
South-Apulia,1,3,13.24,1.74,1.98,68.63,12.89,0.36,0.7,0.21,South
South-Apulia,1,3,12.9,1.57,1.92,70.0,12.63,0.26,0.51,0.19,South
South-Apulia,1,3,13.61,1.63,1.96,68.88,12.73,0.37,0.58,0.24,South
South-Apulia,1,3,13.87,1.82,2.42,69.13,11.01,0.44,0.68,0.3,South
South-Apulia,1,3,13.69,1.8,1.81,70.0,11.3,0.39,0.45,0.24,South
South-Apulia,1,3,13.03,1.65,1.75,70.25,12.43,0.31,0.41,0.16,South
South-Apulia,1,3,13.46,1.6,1.69,70.72,11.51,0.39,0.48,0.15,South
South-Apulia,1,3,13.69,1.71,1.84,69.37,12.46,0.3,0.48,0.15,South
South-Apulia,1,3,13.05,1.72,1.69,70.04,12.6,0.28,0.5,0.11,South
South-Apulia,1,3,13.51,1.79,1.86,69.35,12.43,0.36,0.5,0.19,South
South-Apulia,1,3,12.83,1.51,1.82,70.0,12.71,0.4,0.52,0.21,South
South-Apulia,1,3,14.49,1.75,1.98,68.83,11.62,0.4,0.7,0.22,South
South-Apulia,1,3,13.1,1.8,1.83,70.54,12.02,0.26,0.32,0.12,South
South-Apulia,1,3,13.6,1.63,1.76,69.01,12.8,0.28,0.65,0.27,South
South-Apulia,1,3,13.0,1.87,1.96,69.2,12.53,0.41,0.76,0.25,South
South-Apulia,1,3,13.68,1.71,2.18,70.1,10.57,0.41,0.54,0.26,South
South-Apulia,1,3,12.07,1.51,1.56,71.59,12.34,0.27,0.51,0.14,South
South-Apulia,1,3,13.48,1.54,1.83,69.17,12.77,0.48,0.56,0.16,South
South-Apulia,1,3,13.34,1.86,2.29,72.61,8.27,0.34,0.56,0.2,South
South-Apulia,1,3,13.01,1.56,2.07,70.03,12.29,0.41,0.48,0.14,South
South-Apulia,1,3,12.26,1.81,2.13,69.61,12.3,0.47,0.74,0.26,South
South-Apulia,1,3,12.01,1.68,1.9,71.0,12.16,0.43,0.64,0.16,South
South-Apulia,1,3,12.97,1.53,1.77,70.04,12.6,0.35,0.6,0.16,South
South-Apulia,1,3,12.48,1.63,1.58,71.03,12.22,0.31,0.6,0.14,South
South-Apulia,1,3,13.35,1.59,1.97,69.74,12.2,0.36,0.6,0.17,South
South-Apulia,1,3,12.19,1.67,1.71,70.87,12.54,0.35,0.5,0.16,South
South-Apulia,1,3,13.18,1.79,1.77,70.3,11.94,0.35,0.42,0.25,South
South-Apulia,1,3,12.64,1.67,1.66,71.3,11.87,0.22,0.52,0.12,South
South-Apulia,1,3,12.01,1.75,2.01,71.29,11.93,0.36,0.49,0.15,South
South-Apulia,1,3,12.52,1.8,1.81,70.55,12.14,0.31,0.59,0.38,South
South-Apulia,1,3,12.73,1.82,2.09,69.65,11.91,0.43,0.74,0.23,South
South-Apulia,1,3,13.51,1.79,1.7,70.34,11.54,0.35,0.66,0.1,South
South-Apulia,1,3,13.36,1.55,2.12,71.03,10.86,0.33,0.55,0.2,South
South-Apulia,1,3,14.99,2.01,1.82,68.03,12.04,0.3,0.56,0.24,South
South-Apulia,1,3,14.25,1.98,1.93,70.32,10.41,0.31,0.52,0.17,South
South-Apulia,1,3,13.58,2.04,2.27,69.62,11.09,0.41,0.65,0.34,South
South-Apulia,1,3,13.46,1.81,2.57,71.47,9.33,0.4,0.6,0.36,South
South-Apulia,1,3,13.92,1.86,2.56,67.32,12.78,0.53,0.64,0.29,South
South-Apulia,1,3,13.11,1.66,2.22,70.06,11.47,0.41,0.8,0.27,South
South-Apulia,1,3,13.14,1.71,2.29,69.23,11.98,0.47,0.76,0.42,South
South-Apulia,1,3,14.09,2.0,2.07,68.42,12.24,0.31,0.6,0.27,South
South-Apulia,1,3,13.42,1.74,2.21,69.93,11.47,0.36,0.64,0.23,South
South-Apulia,1,3,13.87,1.82,2.06,71.0,10.2,0.34,0.54,0.17,South
South-Apulia,1,3,14.13,2.02,2.05,69.2,11.65,0.36,0.46,0.13,South
South-Apulia,1,3,14.3,2.09,2.25,68.0,12.0,0.32,0.59,0.27,South
South-Apulia,1,3,13.36,1.85,2.23,69.56,11.55,0.56,0.73,0.16,South
South-Apulia,1,3,13.72,2.0,2.0,69.16,11.89,0.33,0.5,0.22,South
South-Apulia,1,3,13.3,1.57,2.28,70.55,11.08,0.42,0.55,0.25,South
South-Apulia,1,3,14.12,2.07,2.08,68.22,12.39,0.36,0.51,0.28,South
South-Apulia,1,3,13.21,2.09,2.17,69.48,11.78,0.42,0.62,0.23,South
South-Apulia,1,3,14.01,2.0,2.17,69.8,10.73,0.4,0.68,0.21,South
South-Apulia,1,3,14.01,2.14,2.17,67.34,12.93,0.44,0.69,0.27,South
South-Apulia,1,3,14.57,1.68,2.42,67.24,12.66,0.54,0.59,0.3,South
South-Apulia,1,3,14.51,1.99,2.21,68.35,11.77,0.37,0.51,0.29,South
South-Apulia,1,3,14.38,2.06,2.48,68.06,11.83,0.34,0.57,0.28,South
South-Apulia,1,3,14.62,2.04,2.37,66.44,13.09,0.42,0.54,0.28,South
South-Apulia,1,3,15.29,2.15,2.03,66.02,13.1,0.45,0.69,0.27,South
South-Apulia,1,3,15.1,1.89,2.45,67.52,11.88,0.36,0.52,0.28,South
South-Apulia,1,3,14.37,2.22,1.84,68.03,12.4,0.43,0.56,0.16,South
South-Apulia,1,3,13.27,1.29,2.47,70.24,11.57,0.38,0.56,0.22,South
South-Apulia,1,3,14.38,1.72,2.52,66.3,13.8,0.4,0.64,0.24,South
South-Apulia,1,3,14.47,1.76,1.89,68.49,11.8,0.42,0.64,0.26,South
South-Apulia,1,3,13.55,1.44,2.14,69.72,11.98,0.33,0.6,0.24,South
South-Apulia,1,3,13.69,1.56,2.41,68.9,12.09,0.42,0.63,0.3,South
South-Apulia,1,3,14.71,1.88,2.76,66.97,12.69,0.34,0.51,0.16,South
South-Apulia,1,3,14.56,1.79,2.4,67.38,12.67,0.41,0.65,0.14,South
South-Apulia,1,3,13.14,1.4,2.07,70.2,12.2,0.28,0.59,0.12,South
South-Apulia,1,3,14.08,1.76,1.92,69.09,11.95,0.45,0.5,0.25,South
South-Apulia,1,3,13.97,1.72,1.91,71.07,10.18,0.36,0.5,0.29,South
South-Apulia,1,3,14.13,1.91,1.86,69.37,11.8,0.31,0.46,0.13,South
South-Apulia,1,3,15.39,1.94,2.13,67.64,11.78,0.38,0.58,0.16,South
South-Apulia,1,3,13.04,1.59,2.34,70.19,11.74,0.38,0.53,0.19,South
South-Apulia,1,3,13.41,1.6,2.31,70.33,10.69,0.4,0.67,0.33,South
South-Apulia,1,3,15.08,2.08,2.49,66.41,13.11,0.25,0.43,0.2,South
South-Apulia,1,3,15.15,2.26,2.57,65.95,12.87,0.41,0.63,0.16,South
South-Apulia,1,3,12.62,1.65,2.35,71.2,11.13,0.32,0.51,0.21,South
South-Apulia,1,3,13.07,1.97,2.38,70.03,11.44,0.37,0.5,0.24,South
South-Apulia,1,3,12.94,1.59,2.53,70.09,11.9,0.3,0.52,0.13,South
South-Apulia,1,3,14.6,1.87,2.15,68.43,11.72,0.35,0.56,0.32,South
South-Apulia,1,3,14.76,1.87,2.03,68.37,11.97,0.36,0.48,0.22,South
South-Apulia,1,3,14.82,1.78,1.97,68.14,12.01,0.4,0.64,0.24,South
South-Apulia,1,3,13.88,1.76,1.85,70.08,11.11,0.48,0.53,0.31,South
South-Apulia,1,3,13.67,1.72,2.35,70.66,10.54,0.35,0.45,0.26,South
South-Apulia,1,3,12.72,2.07,2.05,71.52,10.98,0.37,0.52,0.22,South
South-Apulia,1,3,13.23,1.57,2.34,71.32,10.22,0.38,0.58,0.31,South
South-Apulia,1,3,12.06,2.18,2.42,71.93,10.02,0.37,0.54,0.25,South
South-Apulia,1,3,13.83,1.57,2.17,70.18,10.9,0.4,0.6,0.37,South
South-Apulia,1,3,15.21,1.9,2.38,69.56,9.86,0.36,0.5,0.23,South
South-Apulia,1,3,13.5,1.68,2.27,69.86,11.65,0.29,0.58,0.17,South
South-Apulia,1,3,14.22,1.81,2.18,68.13,12.3,0.3,0.59,0.21,South
South-Apulia,1,3,12.98,1.66,2.24,69.86,11.62,0.34,0.65,0.31,South
South-Apulia,1,3,14.47,2.36,2.45,66.07,13.36,0.33,0.51,0.21,South
South-Apulia,1,3,13.47,1.97,2.11,67.95,13.0,0.32,0.59,0.34,South
South-Apulia,1,3,13.39,1.7,2.53,69.89,11.1,0.29,0.63,0.23,South
South-Apulia,1,3,13.88,1.83,2.16,68.67,12.08,0.28,0.61,0.21,South
South-Apulia,1,3,15.27,2.6,2.32,64.88,13.7,0.31,0.45,0.2,South
South-Apulia,1,3,14.95,2.37,2.36,65.71,13.18,0.32,0.58,0.26,South
South-Apulia,1,3,14.87,2.46,2.51,65.04,13.9,0.29,0.53,0.19,South
South-Apulia,1,3,13.99,1.8,2.32,68.55,11.9,0.32,0.66,0.22,South
South-Apulia,1,3,14.89,2.15,2.42,67.77,11.45,0.3,0.6,0.22,South
South-Apulia,1,3,13.39,1.66,2.26,69.28,11.98,0.3,0.6,0.23,South
South-Apulia,1,3,14.82,2.46,2.38,64.44,14.62,0.27,0.5,0.2,South
South-Apulia,1,3,14.34,1.72,2.55,66.46,13.54,0.27,0.59,0.25,South
South-Apulia,1,3,13.47,1.56,2.14,68.5,13.13,0.25,0.48,0.19,South
South-Apulia,1,3,13.4,1.58,2.33,68.48,12.72,0.32,0.63,0.25,South
South-Apulia,1,3,14.53,1.8,2.44,67.52,12.38,0.34,0.54,0.23,South
South-Apulia,1,3,13.06,1.49,2.26,70.82,10.97,0.33,0.61,0.24,South
South-Apulia,1,3,13.49,1.61,2.17,69.97,11.38,0.31,0.62,0.23,South
South-Apulia,1,3,12.54,1.51,2.05,73.19,9.47,0.28,0.54,0.23,South
South-Apulia,1,3,11.68,1.44,2.2,72.3,11.09,0.31,0.52,0.28,South
South-Apulia,1,3,13.46,1.67,2.24,69.59,11.11,0.3,0.49,0.23,South
South-Apulia,1,3,13.9,1.84,2.12,68.98,11.89,0.29,0.44,0.19,South
South-Apulia,1,3,12.83,1.49,2.24,70.77,11.04,0.3,0.57,0.32,South
South-Apulia,1,3,12.14,1.37,2.32,72.69,10.05,0.32,0.55,0.23,South
South-Apulia,1,3,14.91,2.27,2.05,69.41,9.88,0.33,0.68,0.34,South
South-Apulia,1,3,14.79,2.18,2.07,70.39,8.87,0.36,0.65,0.36,South
South-Apulia,1,3,14.45,1.74,2.28,68.75,11.23,0.29,0.69,0.31,South
South-Apulia,1,3,14.39,1.83,2.18,67.75,12.26,0.32,0.66,0.29,South
South-Apulia,1,3,13.87,1.54,2.04,69.91,10.9,0.34,0.74,0.32,South
South-Apulia,1,3,14.26,1.69,1.92,70.25,10.43,0.31,0.64,0.27,South
South-Apulia,1,3,14.51,2.0,2.08,69.8,10.06,0.3,0.62,0.31,South
South-Apulia,1,3,14.93,2.04,1.88,69.13,10.44,0.32,0.61,0.35,South
South-Apulia,1,3,14.19,1.92,2.07,69.96,10.14,0.36,0.7,0.36,South
South-Apulia,1,3,13.42,1.77,1.99,71.72,9.52,0.34,0.65,0.33,South
South-Apulia,1,3,13.49,1.52,2.36,71.45,9.49,0.35,0.75,0.29,South
South-Apulia,1,3,14.4,1.96,2.08,69.38,10.7,0.32,0.61,0.26,South
South-Apulia,1,3,14.6,2.15,1.97,69.18,10.81,0.28,0.55,0.23,South
South-Apulia,1,3,12.49,1.33,2.05,74.17,8.27,0.33,0.72,0.33,South
South-Apulia,1,3,13.48,1.59,2.38,70.17,10.81,0.31,0.67,0.25,South
South-Apulia,1,3,13.41,1.55,2.44,69.58,11.44,0.32,0.68,0.26,South
South-Apulia,1,3,13.98,1.49,2.04,71.82,9.07,0.29,0.76,0.3,South
South-Apulia,1,3,14.54,2.0,1.99,69.1,10.9,0.3,0.62,0.25,South
South-Apulia,1,3,13.34,1.53,2.19,69.28,12.14,0.33,0.66,0.24,South
South-Apulia,1,3,14.38,2.04,1.89,71.07,9.1,0.33,0.63,0.27,South
South-Apulia,1,3,13.03,1.38,2.12,71.7,10.16,0.34,0.69,0.25,South
South-Apulia,1,3,13.23,1.47,2.1,71.08,10.7,0.33,0.61,0.2,South
South-Apulia,1,3,14.17,1.69,2.07,68.75,11.84,0.34,0.57,0.27,South
South-Apulia,1,3,13.6,1.67,2.25,68.83,12.2,0.31,0.55,0.27,South
South-Apulia,1,3,14.2,1.79,2.14,69.23,11.21,0.33,0.56,0.27,South
South-Apulia,1,3,14.72,2.18,2.14,67.24,12.38,0.29,0.53,0.23,South
South-Apulia,1,3,13.68,1.74,2.05,70.42,10.66,0.31,0.57,0.26,South
South-Apulia,1,3,13.67,1.73,2.28,69.48,11.41,0.32,0.53,0.24,South
South-Apulia,1,3,14.03,1.73,2.09,68.43,12.1,0.33,0.63,0.33,South
South-Apulia,1,3,14.13,1.97,2.06,67.37,13.87,0.34,0.6,0.31,South
South-Apulia,1,3,12.01,1.38,2.07,70.11,12.69,0.37,0.64,0.35,South
South-Apulia,1,3,13.59,1.8,2.07,68.95,12.03,0.33,0.61,0.3,South
South-Apulia,1,3,15.18,1.98,2.25,66.81,12.43,0.29,0.57,0.24,South
South-Apulia,1,3,14.34,1.85,1.89,67.71,12.69,0.3,0.62,0.25,South
South-Apulia,1,3,13.67,1.62,1.79,67.72,13.68,0.33,0.64,0.27,South
South-Apulia,1,3,14.61,1.81,1.97,67.83,12.46,0.26,0.57,0.23,South
South-Apulia,1,3,13.68,1.61,1.98,70.3,10.95,0.33,0.59,0.31,South
South-Apulia,1,3,14.19,1.59,2.15,68.62,11.93,0.35,0.6,0.31,South
South-Apulia,1,3,15.14,1.62,2.98,67.25,11.19,0.45,0.93,0.3,South
South-Apulia,1,3,13.28,1.71,2.53,69.87,10.3,0.38,0.83,0.39,South
South-Apulia,1,3,14.69,1.6,3.37,66.75,11.27,0.44,0.94,0.36,South
Sicily,1,4,12.22,1.33,2.27,74.25,8.24,0.36,0.69,0.35,South
Sicily,1,4,16.39,1.72,3.31,65.1,11.24,0.46,0.91,0.32,South
Sicily,1,4,13.45,1.33,2.72,68.01,11.94,0.48,0.83,0.37,South
Sicily,1,4,13.39,1.7,2.75,68.38,10.6,0.46,0.88,0.43,South
Sicily,1,4,11.94,1.35,2.63,72.77,8.89,0.44,0.95,0.41,South
Sicily,1,4,11.12,0.68,3.75,77.7,4.48,0.52,0.69,0.45,South
Sicily,1,4,12.22,0.7,3.29,76.05,5.66,0.48,0.67,0.43,South
Sicily,1,4,11.36,0.72,3.41,76.16,6.61,0.49,0.65,0.32,South
Sicily,1,4,9.26,0.41,2.77,78.15,7.84,0.45,0.65,0.25,South
Sicily,1,4,11.05,0.69,3.73,77.14,5.32,0.51,0.68,0.37,South
Sicily,1,4,11.09,0.79,3.05,75.76,7.63,0.45,0.64,0.36,South
Sicily,1,4,12.84,0.93,2.65,72.35,8.93,0.43,0.77,0.46,South
Sicily,1,4,11.2,0.69,2.77,74.16,9.46,0.42,0.59,0.36,South
Sicily,1,4,9.16,0.52,2.81,78.7,6.94,0.42,0.64,0.58,South
Sicily,1,4,9.05,0.49,2.88,77.47,8.12,0.49,0.71,0.56,South
Sicily,1,4,12.06,0.55,2.87,73.29,9.35,0.44,0.74,0.42,South
Sicily,1,4,14.57,1.82,2.67,70.2,8.63,0.41,0.84,0.37,South
Sicily,1,4,13.27,1.4,1.93,73.28,8.23,0.36,0.87,0.35,South
Sicily,1,4,13.03,1.0,2.51,70.45,10.49,0.4,0.86,0.4,South
Sicily,1,4,14.44,1.75,2.59,68.76,10.27,0.34,0.78,0.32,South
Sicily,1,4,15.05,2.43,2.26,69.62,8.58,0.3,0.72,0.27,South
Sicily,1,4,14.29,1.62,2.23,69.17,10.41,0.37,0.77,0.4,South
Sicily,1,4,14.91,1.62,2.11,69.94,9.28,0.37,0.97,0.38,South
Sicily,1,4,13.93,1.28,2.11,71.89,8.7,0.38,0.93,0.4,South
Sicily,1,4,14.04,1.34,2.1,71.1,9.23,0.4,1.01,0.43,South
Sicily,1,4,12.22,1.3,2.14,73.74,8.56,0.38,0.89,0.45,South
Sicily,1,4,11.53,0.74,3.16,75.93,7.05,0.42,0.64,0.32,South
Sicily,1,4,11.69,0.76,3.07,75.53,7.28,0.43,0.69,0.32,South
Sicily,1,4,13.69,1.04,2.37,73.75,7.75,0.39,0.7,0.15,South
Sicily,1,4,9.93,0.58,2.67,77.43,7.73,0.41,0.62,0.44,South
Sicily,1,4,9.8,0.53,2.54,77.19,8.15,0.44,0.69,0.47,South
Sicily,1,4,9.67,0.55,2.73,76.92,8.33,0.45,0.63,0.47,South
Sicily,1,4,11.28,0.73,3.54,75.27,7.28,0.44,0.76,0.38,South
Sicily,1,4,11.88,0.85,2.73,74.45,8.14,0.44,0.73,0.42,South
Sicily,1,4,12.57,0.95,2.47,74.05,8.12,0.43,0.7,0.35,South
Sicily,1,4,12.62,0.88,3.01,74.71,7.04,0.43,0.71,0.31,South
South-Apulia,1,3,12.83,1.53,1.96,71.07,11.15,0.37,0.6,0.28,South
South-Apulia,1,3,12.63,1.55,1.99,71.4,11.48,0.31,0.42,0.18,South
South-Apulia,1,3,13.69,1.58,2.15,71.6,9.58,0.38,0.69,0.32,South
South-Apulia,1,3,13.53,1.72,1.75,69.65,12.12,0.28,0.75,0.19,South
South-Apulia,1,3,11.87,1.39,1.85,74.27,9.52,0.29,0.56,0.22,South
South-Apulia,1,3,17.32,2.31,1.56,64.37,13.13,0.45,0.62,0.23,South
South-Apulia,1,3,16.2,2.55,1.66,66.28,12.12,0.29,0.62,0.27,South
South-Apulia,1,3,15.43,1.72,1.93,67.4,11.57,0.52,0.87,0.34,South
South-Apulia,1,3,14.98,1.7,1.95,68.04,12.06,0.35,0.66,0.23,South
South-Apulia,1,3,13.99,1.69,1.71,70.11,11.0,0.36,0.72,0.16,South
South-Apulia,1,3,12.93,1.56,1.91,71.01,11.11,0.32,0.6,0.31,South
South-Apulia,1,3,14.2,1.75,1.52,70.04,11.49,0.27,0.5,0.2,South
South-Apulia,1,3,17.21,2.38,2.55,63.0,13.5,0.35,0.7,0.28,South
South-Apulia,1,3,17.42,2.21,1.56,64.15,13.15,0.43,0.82,0.23,South
South-Apulia,1,3,13.91,1.87,1.89,69.75,10.62,0.52,0.7,0.45,South
South-Apulia,1,3,15.17,2.06,2.49,66.8,12.05,0.33,0.8,0.27,South
South-Apulia,1,3,12.69,1.57,1.93,71.4,11.48,0.31,0.4,0.18,South
South-Apulia,1,3,15.77,2.04,2.08,67.32,11.83,0.2,0.52,0.2,South
South-Apulia,1,3,15.9,2.41,1.95,67.05,11.49,0.27,0.68,0.21,South
