motivation,num_recipients,recipients,title,year
“for their struggle against the suppression of children and young people and for the right of all children to education”,2,"['Kailash Satyarthi', 'Malala Yousafzai']",The Nobel Peace Prize,2014
“for his analysis of market power and regulation”,1,['Jean Tirole'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2014
"“for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN’s Large Hadron Collider”",2,"['François Englert', 'Peter W. Higgs']",The Nobel Prize in Physics,2013
“for the development of multiscale models for complex chemical systems”,3,"['Martin Karplus', 'Michael Levitt', 'Arieh Warshel']",The Nobel Prize in Chemistry,2013
"“for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells”",3,"['James E. Rothman', 'Randy W. Schekman', 'Thomas C. Südhof']",The Nobel Prize in Physiology or Medicine,2013
“master of the contemporary short story”,1,['Alice Munro'],The Nobel Prize in Literature,2013
“for its extensive efforts to eliminate chemical weapons”,1,['Organisation for the Prohibition of Chemical Weapons (OPCW) '],The Nobel Peace Prize,2013
“for their empirical analysis of asset prices”,3,"['Eugene F. Fama', 'Lars Peter Hansen', 'Robert J. Shiller']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2013
“for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems”,2,"['Serge Haroche', 'David J. Wineland']",The Nobel Prize in Physics,2012
“for studies of G-protein-coupled receptors”,2,"['Robert J. Lefkowitz', 'Brian K. Kobilka']",The Nobel Prize in Chemistry,2012
“for the discovery that mature cells can be reprogrammed to become pluripotent”,2,"['Sir John B. Gurdon', 'Shinya Yamanaka']",The Nobel Prize in Physiology or Medicine,2012
"“who with hallucinatory realism merges folk tales, history and the contemporary”",1,['Mo Yan'],The Nobel Prize in Literature,2012
"“for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe”",1,['European Union (EU) '],The Nobel Peace Prize,2012
“for the theory of stable allocations and the practice of market design”,2,"['Alvin E. Roth', 'Lloyd S. Shapley']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2012
“for the discovery of the accelerating expansion of the Universe through observations of distant supernovae”,3,"['Saul Perlmutter', 'Brian P. Schmidt', 'Adam G. Riess']",The Nobel Prize in Physics,2011
“for the discovery of quasicrystals”,1,['Dan Shechtman'],The Nobel Prize in Chemistry,2011
“for their discoveries concerning the activation of innate immunity”,3,"['Bruce A. Beutler', 'Jules A. Hoffmann', 'Ralph M. Steinman']",The Nobel Prize in Physiology or Medicine,2011
"“because, through his condensed, translucent images, he gives us fresh access to reality”",1,['Tomas Tranströmer'],The Nobel Prize in Literature,2011
“for their non-violent struggle for the safety of women and for women’s rights to full participation in peace-building work”,3,"['Ellen Johnson Sirleaf', 'Leymah Gbowee', 'Tawakkol Karman']",The Nobel Peace Prize,2011
“for their empirical research on cause and effect in the macroeconomy”,2,"['Thomas J. Sargent', 'Christopher A. Sims']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2011
“for groundbreaking experiments regarding the two-dimensional material graphene”,2,"['Andre Geim', 'Konstantin Novoselov']",The Nobel Prize in Physics,2010
“for palladium-catalyzed cross couplings in organic synthesis”,3,"['Richard F. Heck', 'Ei-ichi Negishi', 'Akira Suzuki']",The Nobel Prize in Chemistry,2010
“for the development of in vitro fertilization”,1,['Robert G. Edwards'],The Nobel Prize in Physiology or Medicine,2010
"“for his cartography of structures of power and his trenchant images of the individual’s resistance, revolt, and defeat”",1,['Mario Vargas Llosa'],The Nobel Prize in Literature,2010
“for his long and non-violent struggle for fundamental human rights in China”,1,['Liu Xiaobo'],The Nobel Peace Prize,2010
“for their analysis of markets with search frictions”,3,"['Peter A. Diamond', 'Dale T. Mortensen', 'Christopher A. Pissarides']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2010
“for groundbreaking achievements concerning the transmission of light in fibers for optical communication”,3,"['Charles Kuen Kao', 'Willard S. Boyle', 'George E. Smith']",The Nobel Prize in Physics,2009
“for studies of the structure and function of the ribosome”,3,"['Venkatraman Ramakrishnan', 'Thomas A. Steitz', 'Ada E. Yonath']",The Nobel Prize in Chemistry,2009
“for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase”,3,"['Elizabeth H. Blackburn', 'Carol W. Greider', 'Jack W. Szostak']",The Nobel Prize in Physiology or Medicine,2009
"“who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed”",1,['Herta Müller'],The Nobel Prize in Literature,2009
“for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples”,1,['Barack H. Obama'],The Nobel Peace Prize,2009
"“for her analysis of economic governance, especially the commons”",2,"['Elinor Ostrom', 'Oliver E. Williamson']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2009
“for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics”,3,"['Yoichiro Nambu', 'Makoto Kobayashi', 'Toshihide Maskawa']",The Nobel Prize in Physics,2008
"“for the discovery and development of the green fluorescent protein, GFP”",3,"['Osamu Shimomura', 'Martin Chalfie', 'Roger Y. Tsien']",The Nobel Prize in Chemistry,2008
“for his discovery of human papilloma viruses causing cervical cancer”,3,"['Harald zur Hausen', 'Françoise Barré-Sinoussi', 'Luc Montagnier']",The Nobel Prize in Physiology or Medicine,2008
"“author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization”",1,['Jean-Marie Gustave Le Clézio'],The Nobel Prize in Literature,2008
"“for his important efforts, on several continents and over more than three decades, to resolve international conflicts”",1,['Martti Ahtisaari'],The Nobel Peace Prize,2008
“for his analysis of trade patterns and location of economic activity”,1,['Paul Krugman'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2008
“for the discovery of Giant Magnetoresistance”,2,"['Albert Fert', 'Peter Grünberg']",The Nobel Prize in Physics,2007
“for his studies of chemical processes on solid surfaces”,1,['Gerhard Ertl'],The Nobel Prize in Chemistry,2007
“for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells”,3,"['Mario R. Capecchi', 'Sir Martin J. Evans', 'Oliver Smithies']",The Nobel Prize in Physiology or Medicine,2007
"“that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny”",1,['Doris Lessing'],The Nobel Prize in Literature,2007
"“for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change”",2,"['Intergovernmental Panel on Climate Change (IPCC) ', 'Albert Arnold (Al) Gore Jr.']",The Nobel Peace Prize,2007
“for having laid the foundations of mechanism design theory”,3,"['Leonid Hurwicz', 'Eric S. Maskin', 'Roger B. Myerson']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2007
“for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation”,2,"['John C. Mather', 'George F. Smoot']",The Nobel Prize in Physics,2006
“for his studies of the molecular basis of eukaryotic transcription”,1,['Roger D. Kornberg'],The Nobel Prize in Chemistry,2006
“for their discovery of RNA interference – gene silencing by double-stranded RNA”,2,"['Andrew Z. Fire', 'Craig C. Mello']",The Nobel Prize in Physiology or Medicine,2006
“who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures”,1,['Orhan Pamuk'],The Nobel Prize in Literature,2006
“for their efforts to create economic and social development from below”,2,"['Muhammad Yunus', 'Grameen Bank ']",The Nobel Peace Prize,2006
“for his analysis of intertemporal tradeoffs in macroeconomic policy”,1,['Edmund S. Phelps'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2006
“for his contribution to the quantum theory of optical coherence”,3,"['Roy J. Glauber', 'John L. Hall', 'Theodor W. Hänsch']",The Nobel Prize in Physics,2005
“for the development of the metathesis method in organic synthesis”,3,"['Yves Chauvin', 'Robert H. Grubbs', 'Richard R. Schrock']",The Nobel Prize in Chemistry,2005
“for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease”,2,"['Barry J. Marshall', 'J. Robin Warren']",The Nobel Prize in Physiology or Medicine,2005
“who in his plays uncovers the precipice under everyday prattle and forces entry into oppression’s closed rooms”,1,['Harold Pinter'],The Nobel Prize in Literature,2005
“for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way”,2,"['International Atomic Energy Agency (IAEA) ', 'Mohamed ElBaradei']",The Nobel Peace Prize,2005
“for having enhanced our understanding of conflict and cooperation through game-theory analysis”,2,"['Robert J. Aumann', 'Thomas C. Schelling']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2005
“for the discovery of asymptotic freedom in the theory of the strong interaction”,3,"['David J. Gross', 'H. David Politzer', 'Frank Wilczek']",The Nobel Prize in Physics,2004
“for the discovery of ubiquitin-mediated protein degradation”,3,"['Aaron Ciechanover', 'Avram Hershko', 'Irwin Rose']",The Nobel Prize in Chemistry,2004
“for their discoveries of odorant receptors and the organization of the olfactory system”,2,"['Richard Axel', 'Linda B. Buck']",The Nobel Prize in Physiology or Medicine,2004
“for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society’s clichés and their subjugating power”,1,['Elfriede Jelinek'],The Nobel Prize in Literature,2004
"“for her contribution to sustainable development, democracy and peace”",1,['Wangari Muta Maathai'],The Nobel Peace Prize,2004
“for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles”,2,"['Finn E. Kydland', 'Edward C. Prescott']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2004
“for pioneering contributions to the theory of superconductors and superfluids”,3,"['Alexei A. Abrikosov', 'Vitaly L. Ginzburg', 'Anthony J. Leggett']",The Nobel Prize in Physics,2003
“for discoveries concerning channels in cell membranes”,2,"['Peter Agre', 'Roderick MacKinnon']",The Nobel Prize in Chemistry,2003
“for their discoveries concerning magnetic resonance imaging”,2,"['Paul C. Lauterbur', 'Sir Peter Mansfield']",The Nobel Prize in Physiology or Medicine,2003
“who in innumerable guises portrays the surprising involvement of the outsider”,1,['John M. Coetzee'],The Nobel Prize in Literature,2003
“for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children”,1,['Shirin Ebadi'],The Nobel Peace Prize,2003
“for methods of analyzing economic time series with time-varying volatility (ARCH)”,2,"['Robert F. Engle III', 'Clive W.J. Granger']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2003
"“for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos”",3,"['Raymond Davis Jr.', 'Masatoshi Koshiba', 'Riccardo Giacconi']",The Nobel Prize in Physics,2002
“for the development of methods for identification and structure analyses of biological macromolecules”,3,"['John B. Fenn', 'Koichi Tanaka', 'Kurt Wüthrich']",The Nobel Prize in Chemistry,2002
“for their discoveries concerning genetic regulation of organ development and programmed cell death'”,3,"['Sydney Brenner', 'H. Robert Horvitz', 'John E. Sulston']",The Nobel Prize in Physiology or Medicine,2002
“for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history”,1,['Imre Kertész'],The Nobel Prize in Literature,2002
"“for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development”",1,['Jimmy Carter'],The Nobel Peace Prize,2002
"“for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty”",2,"['Daniel Kahneman', 'Vernon L. Smith']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2002
"“for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates”",3,"['Eric A. Cornell', 'Wolfgang Ketterle', 'Carl E. Wieman']",The Nobel Prize in Physics,2001
“for their work on chirally catalysed hydrogenation reactions”,3,"['William S. Knowles', 'Ryoji Noyori', 'K. Barry Sharpless']",The Nobel Prize in Chemistry,2001
“for their discoveries of key regulators of the cell cycle”,3,"['Leland H. Hartwell', 'Tim Hunt', 'Sir Paul M. Nurse']",The Nobel Prize in Physiology or Medicine,2001
“for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories”,1,['Sir Vidiadhar Surajprasad Naipaul'],The Nobel Prize in Literature,2001
“for their work for a better organized and more peaceful world”,2,"['United Nations (U.N.) ', 'Kofi Annan']",The Nobel Peace Prize,2001
“for their analyses of markets with asymmetric information”,3,"['George A. Akerlof', 'A. Michael Spence', 'Joseph E. Stiglitz']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2001
“for basic work on information and communication technology”,3,"['Zhores I. Alferov', 'Herbert Kroemer', 'Jack S. Kilby']",The Nobel Prize in Physics,2000
“for the discovery and development of conductive polymers”,3,"['Alan J. Heeger', 'Alan G. MacDiarmid', 'Hideki Shirakawa']",The Nobel Prize in Chemistry,2000
“for their discoveries concerning signal transduction in the nervous system”,3,"['Arvid Carlsson', 'Paul Greengard', 'Eric R. Kandel']",The Nobel Prize in Physiology or Medicine,2000
"“for an æuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama”",1,['Gao Xingjian'],The Nobel Prize in Literature,2000
"“for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular”",1,['Kim Dae-jung'],The Nobel Peace Prize,2000
“for his development of theory and methods for analyzing selective samples”,2,"['James J. Heckman', 'Daniel L. McFadden']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2000
“for elucidating the quantum structure of electroweak interactions in physics”,2,"['Gerardus ‘t Hooft', 'Martinus J.G. Veltman']",The Nobel Prize in Physics,1999
“for his studies of the transition states of chemical reactions using femtosecond spectroscopy”,1,['Ahmed H. Zewail'],The Nobel Prize in Chemistry,1999
“for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell”,1,['Günter Blobel'],The Nobel Prize in Physiology or Medicine,1999
“whose frolicsome black fables portray the forgotten face of history”,1,['Günter Grass'],The Nobel Prize in Literature,1999
“in recognition of the organization’s pioneering humanitarian work on several continents”,1,['Médecins Sans Frontières '],The Nobel Peace Prize,1999
“for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas”,1,['Robert A. Mundell'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1999
“for their discovery of a new form of quantum fluid with fractionally charged excitations”,3,"['Robert B. Laughlin', 'Horst L. Störmer', 'Daniel C. Tsui']",The Nobel Prize in Physics,1998
“for his development of the density-functional theory”,2,"['Walter Kohn', 'John A. Pople']",The Nobel Prize in Chemistry,1998
“for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system”,3,"['Robert F. Furchgott', 'Louis J. Ignarro', 'Ferid Murad']",The Nobel Prize in Physiology or Medicine,1998
"“who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality”",1,['José Saramago'],The Nobel Prize in Literature,1998
“for their efforts to find a peaceful solution to the conflict in Northern Ireland”,2,"['John Hume', 'David Trimble']",The Nobel Peace Prize,1998
“for his contributions to welfare economics”,1,['Amartya Sen'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1998
“for development of methods to cool and trap atoms with laser light”,3,"['Steven Chu', 'Claude Cohen-Tannoudji', 'William D. Phillips']",The Nobel Prize in Physics,1997
“for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)”,3,"['Paul D. Boyer', 'John E. Walker', 'Jens C. Skou']",The Nobel Prize in Chemistry,1997
“for his discovery of Prions – a new biological principle of infection”,1,['Stanley B. Prusiner'],The Nobel Prize in Physiology or Medicine,1997
“who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden”,1,['Dario Fo'],The Nobel Prize in Literature,1997
“for their work for the banning and clearing of anti-personnel mines”,2,"['International Campaign to Ban Landmines (ICBL) ', 'Jody Williams']",The Nobel Peace Prize,1997
“for a new method to determine the value of derivatives”,2,"['Robert C. Merton', 'Myron S. Scholes']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1997
“for their discovery of superfluidity in helium-3”,3,"['David M. Lee', 'Douglas D. Osheroff', 'Robert C. Richardson']",The Nobel Prize in Physics,1996
“for their discovery of fullerenes”,3,"['Robert F. Curl Jr.', 'Sir Harold W. Kroto', 'Richard E. Smalley']",The Nobel Prize in Chemistry,1996
“for their discoveries concerning the specificity of the cell mediated immune defence”,2,"['Peter C. Doherty', 'Rolf M. Zinkernagel']",The Nobel Prize in Physiology or Medicine,1996
“for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality”,1,['Wislawa Szymborska'],The Nobel Prize in Literature,1996
“for their work towards a just and peaceful solution to the conflict in East Timor”,2,"['Carlos Filipe Ximenes Belo', 'José Ramos-Horta']",The Nobel Peace Prize,1996
“for their fundamental contributions to the economic theory of incentives under asymmetric information”,2,"['James A. Mirrlees', 'William Vickrey']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1996
“for pioneering experimental contributions to lepton physics”,2,"['Martin L. Perl', 'Frederick Reines']",The Nobel Prize in Physics,1995
"“for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone”",3,"['Paul J. Crutzen', 'Mario J. Molina', 'F. Sherwood Rowland']",The Nobel Prize in Chemistry,1995
“for their discoveries concerning the genetic control of early embryonic development”,3,"['Edward B. Lewis', 'Christiane Nüsslein-Volhard', 'Eric F. Wieschaus']",The Nobel Prize in Physiology or Medicine,1995
"“for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past”",1,['Seamus Heaney'],The Nobel Prize in Literature,1995
"“for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms”",2,"['Joseph Rotblat', 'Pugwash Conferences on Science and World Affairs ']",The Nobel Peace Prize,1995
"“for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy”",1,['Robert E. Lucas Jr.'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1995
“for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter”,2,"['Bertram N. Brockhouse', 'Clifford G. Shull']",The Nobel Prize in Physics,1994
“for his contribution to carbocation chemistry”,1,['George A. Olah'],The Nobel Prize in Chemistry,1994
“for their discovery of G-proteins and the role of these proteins in signal transduction in cells”,2,"['Alfred G. Gilman', 'Martin Rodbell']",The Nobel Prize in Physiology or Medicine,1994
"“who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today”",1,['Kenzaburo Oe'],The Nobel Prize in Literature,1994
“for their efforts to create peace in the Middle East”,3,"['Yasser Arafat', 'Shimon Peres', 'Yitzhak Rabin']",The Nobel Peace Prize,1994
“for their pioneering analysis of equilibria in the theory of non-cooperative games”,3,"['John C. Harsanyi', 'John F. Nash Jr.', 'Reinhard Selten']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1994
"“for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation”",2,"['Russell A. Hulse', 'Joseph H. Taylor Jr.']",The Nobel Prize in Physics,1993
“for contributions to the developments of methods within DNA-based chemistry”,2,"['Kary B. Mullis', 'Michael Smith']",The Nobel Prize in Chemistry,1993
“for their discoveries of split genes”,2,"['Richard J. Roberts', 'Phillip A. Sharp']",The Nobel Prize in Physiology or Medicine,1993
"“who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality”",1,['Toni Morrison'],The Nobel Prize in Literature,1993
"“for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa”",2,"['Nelson Mandela', 'Frederik Willem de Klerk']",The Nobel Peace Prize,1993
“for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change”,2,"['Robert W. Fogel', 'Douglass C. North']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1993
"“for his invention and development of particle detectors, in particular the multiwire proportional chamber”",1,['Georges Charpak'],The Nobel Prize in Physics,1992
“for his contributions to the theory of electron transfer reactions in chemical systems”,1,['Rudolph A. Marcus'],The Nobel Prize in Chemistry,1992
“for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism”,2,"['Edmond H. Fischer', 'Edwin G. Krebs']",The Nobel Prize in Physiology or Medicine,1992
"“for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment”",1,['Derek Walcott'],The Nobel Prize in Literature,1992
“in recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples”,1,['Rigoberta Menchú Tum'],The Nobel Peace Prize,1992
"“for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour”",1,['Gary S. Becker'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1992
"“for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers”",1,['Pierre-Gilles de Gennes'],The Nobel Prize in Physics,1991
“for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy”,1,['Richard R. Ernst'],The Nobel Prize in Chemistry,1991
“for their discoveries concerning the function of single ion channels in cells”,2,"['Erwin Neher', 'Bert Sakmann']",The Nobel Prize in Physiology or Medicine,1991
“who through her magnificent epic writing has – in the words of Alfred Nobel – been of very great benefit to humanity”,1,['Nadine Gordimer'],The Nobel Prize in Literature,1991
“for her non-violent struggle for democracy and human rights”,1,['Aung San Suu Kyi '],The Nobel Peace Prize,1991
“for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy”,1,['Ronald H. Coase'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1991
"“for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics”",3,"['Jerome I. Friedman', 'Henry W. Kendall', 'Richard E. Taylor']",The Nobel Prize in Physics,1990
“for his development of the theory and methodology of organic synthesis”,1,['Elias James Corey'],The Nobel Prize in Chemistry,1990
“for their discoveries concerning organ and cell transplantation in the treatment of human disease”,2,"['Joseph E. Murray', 'E. Donnall Thomas']",The Nobel Prize in Physiology or Medicine,1990
"“for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity”",1,['Octavio Paz'],The Nobel Prize in Literature,1990
“for his leading role in the peace process which today characterizes important parts of the international community”,1,['Mikhail Sergeyevich Gorbachev'],The Nobel Peace Prize,1990
“for their pioneering work in the theory of financial economics”,3,"['Harry M. Markowitz', 'Merton H. Miller', 'William F. Sharpe']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1990
“for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks”,3,"['Norman F. Ramsey', 'Hans G. Dehmelt', 'Wolfgang Paul']",The Nobel Prize in Physics,1989
“for their discovery of catalytic properties of RNA”,2,"['Sidney Altman', 'Thomas R. Cech']",The Nobel Prize in Chemistry,1989
“for their discovery of the cellular origin of retroviral oncogenes”,2,"['J. Michael Bishop', 'Harold E. Varmus']",The Nobel Prize in Physiology or Medicine,1989
"“for a rich and intensive prose, which with restrained compassion forms a challenging vision of man’s vulnerability”",1,['Camilo José Cela'],The Nobel Prize in Literature,1989
,1,['The 14th Dalai Lama (Tenzin Gyatso) '],The Nobel Peace Prize,1989
“for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures”,1,['Trygve Haavelmo'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1989
“for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino”,3,"['Leon M. Lederman', 'Melvin Schwartz', 'Jack Steinberger']",The Nobel Prize in Physics,1988
“for the determination of the three-dimensional structure of a photosynthetic reaction centre”,3,"['Johann Deisenhofer', 'Robert Huber', 'Hartmut Michel']",The Nobel Prize in Chemistry,1988
“for their discoveries of important principles for drug treatment”,3,"['Sir James W. Black', 'Gertrude B. Elion', 'George H. Hitchings']",The Nobel Prize in Physiology or Medicine,1988
"“who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind”",1,['Naguib Mahfouz'],The Nobel Prize in Literature,1988
,1,['United Nations Peacekeeping Forces '],The Nobel Peace Prize,1988
“for his pioneering contributions to the theory of markets and efficient utilization of resources”,1,['Maurice Allais'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1988
